Номер ситуации;Пример набора секторов пробоин с 10м;Описание;Причина;Рекомендаци
18;"С10, С10, С10, С10";Стрелок произвел четыре выстрела – пробоины находятся под мишенью;"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
19;"С1, С5, С5, С5";"Стрелок произвел четыре выстрела – одна пробоина находится в районе прицеливания, три пробоины располагаются кучно, но произошло смещение средней точки попадания вверх";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
20;"С1, С3, С6, С10";Стрелок произвел четыре выстрела – пробоины располагаются по всей мишени. Кучность отсутствует.  Расстояние между пробоинами может составлять десятки сантиметров.;"• «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;
• тремор пистолета. Чрезмерное напряжение мышц при хвате пистолета приводит к появлению колебаний (тремора) оружия при стрельбе, что приводит к значительному ухудшению кучности стрельбы и  разбросу пробоин по мишени;
• стрелок не задерживает дыхание при производстве выстрела (выстрелов). 
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
21;"С1, С3, С6, С7";Стрелок произвел четыре выстрела – пробоины располагаются по всей мишени. Кучность отсутствует.  Расстояние между пробоинами может составлять десятки сантиметров.;"• «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;
• тремор пистолета. Чрезмерное напряжение мышц при хвате пистолета приводит к появлению колебаний (тремора) оружия при стрельбе, что приводит к значительному ухудшению кучности стрельбы и  разбросу пробоин по мишени;
• стрелок не задерживает дыхание при производстве выстрела (выстрелов). 
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
22;"С1, С1, С7, С7";"Стрелок произвел четыре выстрела – 2 пробоины располагаются в районе прицеливания,  2 пробоины сметстились вправо";"У стрелка не получается правильно проконтролировать все четыре выстрела. Два выстрела он выполняет с ошибкой.                                                                   • чрезмерное сдавливание левой рукой рукоятки пистолета, приводящее к смещению мушки вправо при производстве выстрела;";• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
23;"С1, С1, С1, С1";Стрелок произвёл четыре выстрела все попадания располагаются в районе прицеливания;Ошибок нет;Нет
24;"С9, С9, С10, С10";"Стрелок произвел четыре выстрела – 2 пробоины сместились вниз, 2 пробоины находятся под мишенью.";"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз.
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
25;"С1, С9, С9, С9";"Стрелок произвел четыре выстрела – одна пробоина находится в районе прицеливания, три пробоины располагаются кучно, но произошло смещение средней точки попадания вниз";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз;
• ситуация «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия «тычком» пистолета вниз
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
26;"С3, С6, С8, С10";Стрелок произвел четыре выстрела – пробоины располагаются по всей мишени. Кучность отсутствует.  Расстояние между пробоинами может составлять десятки сантиметров.;"• «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;
• тремор пистолета. Чрезмерное напряжение мышц при хвате пистолета приводит к появлению колебаний (тремора) оружия при стрельбе, что приводит к значительному ухудшению кучности стрельбы и  разбросу пробоин по мишени;
• стрелок не задерживает дыхание при производстве выстрела (выстрелов). 
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
27;"С3, С3, С7, С7";Стрелок произвел четыре выстрела – пробоины располагаются в двух противоположных секторах.  Расстояние между пробоинами может составлять десятки сантиметров.;"Отсутствует единообразие при производстве выстрелов.                                                 • «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
28;"С5, С5, С9, С9";Стрелок произвел четыре выстрела – пробоины располагаются в двух противоположных секторах.  Расстояние между пробоинами может составлять десятки сантиметров.;"Отсутствует единообразие при производстве выстрелов.                                                 • «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
29;"С4, С4, С8, С8";Стрелок произвел четыре выстрела – пробоины располагаются в двух противоположных секторах.  Расстояние между пробоинами может составлять десятки сантиметров.;"Отсутствует единообразие при производстве выстрелов.                                                 • «перевод взгляда» с мушки на мишень (с мушки на мишень – с мишени на мушку). При таком варианте в момент выстрела стрелок не контролирует положение мушки, что приводит к её значительным отклонениям и разбросу пробоин по всей мишени;";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2.
• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.3 (прицеливание) и 1.5 (управление дыханием).
"
30;"С4, С4, С5, С5";"Стрелок произвел четыре выстрела – 2 пробоины сместились вверх и влево, 2 пробоины сместились вверх. Рекомендация будет дана в соответствии с сектором С4, как ведущим";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как показано на рисунках ниже. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка. В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. Попытка стрелка сильно сдавить рукоятку пистолета правой рукой может привести к смещению мушки влево при выстреле;
• в случае если посадка пистолета в руке не плотная (как показано на фото выше), то возможно наличие ещё такой ошибки, как чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела

";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.2. (Хват оружия).
• Упражнение по определению ведущего глаза – Раздел 1.3.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2
"
31;"С3, С3, С4, С4";"Стрелок произвел четыре выстрела – 2 пробоины сместились влево, 2 пробоины сместились влево и вверх. Рекомендация будет дана в соответствии с сектором С4, как ведущим";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как показано на рисунках ниже. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка. В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. Попытка стрелка сильно сдавить рукоятку пистолета правой рукой может привести к смещению мушки влево при выстреле;
• в случае если посадка пистолета в руке не плотная (как показано на фото выше), то возможно наличие ещё такой ошибки, как чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела

";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.2. (Хват оружия).
• Упражнение по определению ведущего глаза – Раздел 1.3.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2
"
32;"С2, С2, С3,С3";"Стрелок произвел четыре выстрела – 2 пробоины сместились влево, 2 пробоины сместились влево и вниз. Рекомендация будет дана в соответствии с сектором С2, как ведущим";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
В дополнении к описанной выше ошибке смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
33;"С2, С2, С9, С9";"Стрелок произвел четыре выстрела – 2 пробоины сместились влево и вниз, 2 пробоины сместились вниз. Рекомендация будет дана в соответствии с сектором С2, как ведущим";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
В дополнении к описанной выше ошибке смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
34;"С8, С8, С9, С9";"Стрелок произвел четыре выстрела – 2 пробоины сместились вправо и вниз, 2 пробоины сместились вниз. Рекомендация будет дана в соответствии с сектором С8, как ведущим";"• чрезмерное давление пальцами левой руки вниз (скручивающее движение), в результате чего происходит смещение мушки в соответствующее направление при производстве выстрела;
• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
35;"С7, С7, С8, С8";"Стрелок произвел четыре выстрела – 2 пробоины сместились вправо, 2 пробоины сместились вправо и вниз. Рекомендация будет дана в соответствии с сектором С8, как ведущим";"• чрезмерное давление пальцами левой руки вниз (скручивающее движение), в результате чего происходит смещение мушки в соответствующее направление при производстве выстрела;
• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
