Номер ситуации;Пример набора секторов пробоин с 10м;Описание;Причина;Рекомендаци
36;"С6, С6, С7, С7";"Стрелок произвел четыре выстрела – 2 пробоины сместились вправо, 2 пробоины сместились вправо и вверх. Рекомендация будет дана в соответствии с сектором С6, как ведущим";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела.
В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• не правильная посадка пистолета в руке. Между средней линией ствола пистолета (линией прицеливания) и средней линией предплечья стреляющего образуется большой угол, как показано на рисунках ниже.                                           • нарушение правильности положения корпуса тела при изготовке к стрельбе
";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.1. (Изготовка к стрельбе) и 1.2. (Хват оружия).
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
37;"С5, С5, С6, С6";"Стрелок произвел четыре выстрела – 2 пробоины сместились вправо и вверх, 2 пробоины сместились вверх. Рекомендация будет дана в соответствии с сектором С6, как ведущим";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела.
В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• не правильная посадка пистолета в руке. Между средней линией ствола пистолета (линией прицеливания) и средней линией предплечья стреляющего образуется большой угол, как показано на рисунках ниже.                                           • нарушение правильности положения корпуса тела при изготовке к стрельбе
";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.1. (Изготовка к стрельбе) и 1.2. (Хват оружия).
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
38;"С2, С2, С10, С10";"Стрелок произвел четыре выстрела – 2 пробоины сместились влево и вниз, 2 пробоины ушли под мишень. Рекомендация будет дана в соответствии с сектором С2, как ведущим";"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз.
В дополнении к описанной выше ошибке смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
39;"С8, С8, С10, С10";"Стрелок произвел четыре выстрела – 2 пробоины сместились вправо и вниз, 2 пробоины ушли под мишень. Рекомендация будет дана в соответствии с сектором С8, как ведущим";"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз.
• чрезмерное давление пальцами левой руки вниз (скручивающее движение), в результате чего происходит смещение мушки в соответствующее направление при производстве выстрела;
• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
40;"С4, С5, С5, С6";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево и вверх, 2 пробоины сместились вверх, 1 пробоина сместилась вверх и вправо. Рекомендация будет дана в соответствии с сектором С5, как центральным (средним) в данной ситуации";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
41;"С3, С4, С4, С5";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево, 2 пробоины сместились влево и вверх, 1 пробоина сместилась вверх. Рекомендация будет дана в соответствии с сектором С4, как центральным (средним) в данной ситуации";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как показано на рисунках ниже. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка. В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. Попытка стрелка сильно сдавить рукоятку пистолета правой рукой может привести к смещению мушки влево при выстреле;
• в случае если посадка пистолета в руке не плотная (как показано на фото выше), то возможно наличие ещё такой ошибки, как чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела

";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Раздел 1.2. (Хват оружия).
• Упражнение по определению ведущего глаза – Раздел 1.3.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2
"
42;"С2, С3, С3, С4";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево и вниз, 2 пробоины сместились влево, 1 пробоина сместилась влево и вверх. Рекомендация будет дана в соответствии с сектором С3, как центральным (средним) в данной ситуации";"• ошибка в определении ведущего глаза. Стрелку необходимо определить какой глаз у него ведущий (сделать это можно способом указанном в разделе 1.3), возможно причина ошибки кроется именно в этом – неправильном восприятии прицельных приспособлений;
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела.
";"• Упражнение по определению ведущего глаза – Раздел 1.3.
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения изготовке к стрельбе, прицеливанию и выносу оружия – Раздел 3.2
"
43;"С2, С2, С3, С9";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево, 2 пробоины сместились влево и вниз, 1 пробоина сместилась вниз. Рекомендация будет дана в соответствии с сектором С2, как центральным (средним) в данной ситуации";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
В дополнении к описанной выше ошибке смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
44;"С2, С9, С9, С8";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево и вниз, 2 пробоины сместились вниз, 1 пробоина сместилась вниз и вправо. Рекомендация будет дана в соответствии с сектором С9, как центральным (средним) в данной ситуации";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз;
• ситуация «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия «тычком» пистолета вниз
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
45;"С7, С8, С8, С9";"Стрелок произвел четыре выстрела – 1 пробоина сместилась вправо, 2 пробоины сместились вправо и вниз, 1 пробоина сместилась вниз. Рекомендация будет дана в соответствии с сектором С8, как центральным (средним) в данной ситуации";"• чрезмерное давление пальцами левой руки вниз (скручивающее движение), в результате чего происходит смещение мушки в соответствующее направление при производстве выстрела;
• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
46;"С6, С7, С7, С8";"Стрелок произвел четыре выстрела – 1 пробоина сместилась вправо и вверх, 2 пробоины сместились вправо, 1 пробоина сместилась вправо и вниз. Рекомендация будет дана в соответствии с сектором С7, как центральным (средним) в данной ситуации";"• чрезмерное сдавливание левой рукой рукоятки пистолета, приводящее к смещению мушки вправо при производстве выстрела";• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
47;"С5, С6, С6, С7";"Стрелок произвел четыре выстрела – 1 пробоина сместилась вверх, 2 пробоины сместились вправо и вверх, 1 пробоина сместилась вправо. Рекомендация будет дана в соответствии с сектором С6, как центральным (средним) в данной ситуации";"• при хвате пистолета двумя руками с поддержкой кисти руки снизу стрелок непроизвольно «поддавливает» рукоятку пистолета, что приводит к смещению мушки вверх;
• не  плотная посадка пистолета в руке – существует зазор между рукояткой пистолета и ладонью, как уже было показано на рисунке выше. Такая посадка пистолета в руке приводит к непроизвольному смещению мушки вверх при обработке спускового крючка;
• ситуация «ожидания выстрела» (как при срыве его вниз) - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия подбросом пистолета  вверх, так называемая «подсечка» выстрела.
В дополнении к описанным выше ошибкам смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• не правильная посадка пистолета в руке. Между средней линией ствола пистолета (линией прицеливания) и средней линией предплечья стреляющего образуется большой угол.При наличии такого угла лучезапястный сустав не в силах сопротивляться мощной отдаче пистолета. Кисть стреляющего “ломается” в суставе, а пистолет резко разворачивается стволом в сторону и приводит к боковому отклонению пули от района прицеливания; 
• нарушение правильности положения корпуса тела при изготовке к стрельбе.

";"• Изучение основ производства выстрела – элементов качественного выстрела из пистолета (приёмов и правил  стрельбы) – Разделы 1.1. (Изготовка к стрельбе) и 1.2. (Хват оружия).
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
48;"С2, С2, С3, С10";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево, 2 пробоины сместились влево и вниз, 1 пробоина сместилась сильно вниз. Рекомендация будет дана в соответствии с сектором С2, как центральным (средним) в данной ситуации";"• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
В дополнении к описанной выше ошибке смещение пробоин в данный сектор говорит о наличии как минимум ещё одной (нескольких) следующих ошибок:
• неправильное наложение пальца на спусковой крючок (во время выстрела указательный палец сильной руки давит на спусковой крючок внутрь, загибая кисть и ствол пистолета влево) – обработка спускового крючка должна осуществляться серединой подушечки третьей фаланги (счет идет от центра к периферии). В данном случае сотрудник накладывает палец на спусковой крючок сгибом между третьей и второй фалангами, что приводит к инстинктивному смещению мушки влево при производстве выстрела;
• чрезмерное давление на рукоятку пистолета (скручивание хвата левой рукой) – при формировании хвата левая рука накладывается слишком далеко, что приводит к непроизвольному скручивающему движению левой рукой стрелка и соответственно к смещению мушки влево в момент выстрела;
• чрезмерное сдавливание рукоятки пальцами правой руки. При формировании хвата его плотность достигается за счет обхвата левой рукой. 60 % плотности хвата приходится на левую руку, а 40 % на правую. В случае нарушения этого распределения чрезмерные усилия правой руки будут приводить к смещению мушки влево при выстреле;
• ослабление левой руки в хвате. В случае если усилие хвата левой рукой недостаточно, то это также приведет к смещению мушки влево в момент выстрела
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4.
"
49;"С2, С8, С10, С10";"Стрелок произвел четыре выстрела – 1 пробоина сместилась влево и вниз, 2 пробоины сместились сильно вниз, 1 пробоина сместилась вниз и вправо. Рекомендация будет дана в соответствии с сектором С10, как центральным (средним) в данной ситуации";"• неправильная обработка спускового крючка – спусковой крючок обрабатывается либо одним сплошным резким движением, без деления его хода на холостой и боевой, либо стрелок обрабатывает одним резким движением только боевой ход спускового крючка. И в первом и во втором случае при выстреле мушка будет очень сильно смещаться вниз, что неизбежно приведет к промахам;  
• более «грубый» вариант ситуации «ожидания выстрела» - при обработке спускового крючка сотрудник переключил свое внимание на ожидание отдачи при выстреле оружия и за доли секунды до производства выстрела попытался компенсировать отдачу оружия очень сильным «тычком» пистолета вниз.
";"• Изучение алгоритма производства выстрела – Раздел 1.6. и особенностей прицеливания и обработки спускового крючка – Раздел 1.7.  
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
• Упражнения для обучения выстрелу, в том числе с эмитацией отдачи оружия при стрельбе и с использованием различных тренажеров – Раздел 3.4
"
50;"С7, С8, С8, С10";"Стрелок произвел четыре выстрела – 1 пробоина сместилась вправо, 2 пробоины сместились вправо и вниз, 1 пробоина сместилась сильно вниз. Рекомендация будет дана в соответствии с сектором С8, как центральным (средним) в данной ситуации";"• чрезмерное давление пальцами левой руки вниз (скручивающее движение), в результате чего происходит смещение мушки в соответствующее направление при производстве выстрела;
• неправильная обработка спускового крючка, так называемый «срыв» - сотрудник старался плавно тянуть хвост спускового крючка при обработке боевого хода, однако перед самым выстрелом (ожидая, что он вот-вот произойдет) произвел резкое нажатие на спусковой крючок, что привело к смещению мушки вниз.
";"• Упражнения для обучения правильному хвату оружия – Раздел 3.1.
• Упражнения для обучения спуску курка (обработки спускового крючка) – Раздел 3.3.
"
;;;;
;;;;
